name,dependent_repos_count,dependent_packages_count,amp,github_owner,maintainers_count,namespace,repository_url,homepage
@nicolo-ribaudo/chokidar-2,67963,5,11327.2,nicolo-ribaudo,1,nicolo-ribaudo,https://github.com/nicolo-ribaudo/chokidar-2,https://github.com/nicolo-ribaudo/chokidar-2#readme
@commitlint/top-level,67932,5,11322.0,conventional-changelog,4,commitlint,https://github.com/conventional-changelog/commitlint,https://commitlint.js.org/
require-package-name,67841,54,1233.5,mattdesl,1,,https://github.com/mattdesl/require-package-name,https://github.com/mattdesl/require-package-name
@commitlint/read,67809,43,1541.1,conventional-changelog,4,commitlint,https://github.com/conventional-changelog/commitlint,https://commitlint.js.org/
octokit-pagination-methods,67803,26,2511.2,gr2m,1,,https://github.com/gr2m/octokit-pagination-methods,https://github.com/gr2m/octokit-pagination-methods#readme
level-errors,67768,58,1148.6,Level,3,,https://github.com/Level/errors,https://github.com/Level/errors
readdir-glob,67752,23,2823.0,Yqnn,1,,https://github.com/Yqnn/node-readdir-glob,https://github.com/Yqnn/node-readdir-glob
level-iterator-stream,67673,39,1691.8,Level,3,,https://github.com/Level/iterator-stream,https://github.com/Level/iterator-stream
is-zip,67330,42,1565.8,kevva,1,,https://github.com/kevva/is-zip,https://github.com/kevva/is-zip
h2x-plugin-jsx,66965,15,4185.3,smooth-code,1,,https://github.com/smooth-code/h2x,https://github.com/smooth-code/h2x
h2x-core,66965,16,3939.1,smooth-code,1,,https://github.com/smooth-code/h2x,https://github.com/smooth-code/h2x
h2x-types,66958,9,6695.8,smooth-code,1,,https://github.com/smooth-code/h2x,https://github.com/smooth-code/h2x
h2x-parse,66957,6,9565.3,smooth-code,1,,https://github.com/smooth-code/h2x,https://github.com/smooth-code/h2x
h2x-traverse,66956,4,13391.2,smooth-code,1,,https://github.com/smooth-code/h2x,https://github.com/smooth-code/h2x
h2x-generate,66956,3,16739.0,smooth-code,1,,https://github.com/smooth-code/h2x,https://github.com/smooth-code/h2x
